id,public_name,lat,lng,address,postal_code
choachukang-choachukangave4-blk429a-deck1b,Choa Chu Kang/Choa Chu Kang Ave 4/Blk 429A/Deck 1B,1.383515,103.740927,429A Choa Chu Kang Avenue 4,681429
woodlands-marsilingroad-blk181-deck2,Woodlands/Marsiling Road/Blk 181/Deck 2,1.439595,103.779857,"181 Marsiling Road, Marsiling Heights",730181
jurongwest-jurongweststreet65-blk659-deck2a,Jurong West/Jurong West Street 65/Blk 659/Deck 2A,1.3373547,103.702388,659 Jurong West Street 65,640659
tampines-tampinesstreet42-blk494a-deck1b,Tampines/Tampines Street 43/Blk 494A/Deck 1B,1.363097,103.952238,494A Tampines Street 43,521494
queenstown-dovercrescent-blk19a-deck1a,Queenstown/Dover Crescent/Blk 19A/Deck 1A,1.307398,103.784616,19A Dover Crescent,131019
geylang-pipitroad-blk91,Geylang/Pipit Road/Blk 91,1.32276,103.886197,85 to 92A Pipit Road,370085
punggol-punggolway-blk261-deck2b,Punggol/Punggol Way/Blk 261/Deck 2B,1.40541,103.896933,261 Punggol Way,820261
woodlands-woodlandringroad-blk649a-deck1b,Woodlands/Woodland Ring Road/Blk 649A/Deck 1B,1.438732,103.800336,649A Woodlands ring Road,731649
toapayoh-toapayohlor4-blk60a-deck1b,Toa Payoh/Toa Payoh Lor 4/Blk 60A/Deck 1B,1.336504,103.851158,60A Lorong 4 Toa Payoh,311060
choachukang-choachukangave1-blk809-deck1a,Choa Chu Kang/Choa Chu Kang Ave 1/Blk 809/Deck 1A,1.3758,103.7445,809 Choa Chu Kang Avenue 1,680809
central-259outramroadsengpohroad,Central/259 Outram Road (Seng Poh Road),1.285034,103.834902,259 Outram Road (Seng Poh Road),169061
sembawang-sembawangcrescent-blk336a-deck2b,Sembawang/Sembawang Crescent/Blk 336A/Deck 2B,1.446371,103.815026,336A Sembawang Crescent,751336
sengkang-anchorvaleroad-blk308-deck2b,Sengkang/Anchorvale Road/Blk 308/Deck 2B,1.389624,103.886397,308 Anchorvale Road,540308
angmokio-angmokiostreet52-blk596-deck1a,Ang Mo Kio/Ang Mo Kio Street 52/Blk 596/Deck 1A,1.372412,103.851404,596 Ang Mo Kio Street 52,560596
bukitmerah-jalanmembina-blk26-deck2a,Bukit Merah/Jalan Membina/Blk 26/Deck 2A,1.28294,103.825489,26 Jalan Membina,161026
tampines-tampinesavenue1-blk890-deck1,Tampines/Tampines Avenue 1/Blk 890/Deck 1,1.34709,103.934193,890 Tampines Avenue 1,520890
clementi-tebangardensroad-blk61-deck1a,Jurong East/Teban Gardens Road/Blk 61/Deck 1A,1.322132,103.738434,61 Teban Gardens Road,600061
central-1magazineroad-centralmall-level2,Central/1 Magazine Road/Central Mall/Level 2,1.2882195,103.8424566,"1 Magazine road, Central mall",59567
central-9rafflesplace-republicplaza-level4,Central/9 Raffles Place/Republic Plaza/Level 4,1.283658,103.850455,"9 Raffles Place, Republic Plaza",48619
sentosa-8sentosagateway-resortworldsentosa-oppositetaxistandb1towardswestcarpark,Sentosa/8 Sentosa Gateway/Resort World Sentosa/Opposite Taxi Stand @ B1 towards West carpark,1.254335,103.825533,8 Sentosa Gateway,98269
bukitpanjang-segarroad-blk547-deck1a,Bukit Panjang/Segar Road/Blk 547/Deck 1A,1.388124,103.7696,547 Segar Road,670547
simei-simeistreet1-blk132,Tampines/Simei Street 1/Blk 132,1.3472048,103.9562201,132 Simei Street 1,520132
tampines-tampinesavenue4-blk902,Tampines/Tampines Avenue 4/Blk 902,1.351249,103.939541,902 Tampines Avenue 4,520902
jurongwest-jurongweststreet91-blk953,Jurong West/Jurong West Street 91/Blk 953,1.342364,103.690355,953 Jurong West Street 91,640953
kallang-northbridgeroad-blk13-deck2b,Kallang/North Bridge Road/Blk 13/Deck 2B,1.304194,103.863115,13 North Bridge Road,190013
toapayoh-toapayohlor8-blk11a-deck2a,Toa Payoh/Toa Payoh Lor 8/Blk 11A/Deck 2A,1.336628,103.859568,11A Lorong 8 Toa Payoh,311011
kallang-jalantenteram-blk19a-deck2a,Kallang/Jalan Tenteram/Blk 19A/Deck 2A,1.327601,103.859515,19A Jalan Tenteram,322019
sembawang-montrealdrive-blk504-deck1a,Sembawang/Montreal Drive/Blk 504/Deck 1A,1.450844,103.824006,504 Montreal Drive,750504
queenstown-strathmoreavenue-blk56a-deck1b,Queenstown/Strathmore Avenue/Blk 56A/Deck 1B,1.292857,103.809891,56A Strathmore Avenue,143056
bedok-bedokcentral-blk220-deck1a,Bedok/Bedok Central/Blk 220/Deck 1A,1.325543,103.935059,220 Bedok Central,460220
bukitmerah-boontiongroad-blk11a-deck1b,Bukit Merah/Boon Tiong Road/Blk 11A/Deck 1B,1.286326,103.829076,11A Boon Tiong Road,161011
sembawang-canberraroad-blk306a-deck1,Sembawang/Canberra Road/Blk 306A/Deck 1,1.445376,103.822578,306A Canberra Road,751306
hougang-hougangavenue4-blk576a-deck1a,Hougang/Hougang Avenue 4/Blk 576A/Deck 1A,1.3786,103.885836,576A Hougang Avenue 4,531576
sembawang-sembawangdrive-blk406a-deck1a,Sembawang/Sembawang Drive/Blk 406A/Deck 1A,1.452323,103.817493,406A Sembawang Drive,751406
central-kelantanlane-blk31-deck1a,Central/Kelantan Lane/Blk 31/Deck 1A,1.306398,103.856969,31 Kelantan Lane,200031
marineparade-marinecrescent-blk35a-deck2,Marine Parade/Marine Crescent/Blk 35A/Deck 2,1.303797,103.912898,35A Marine Crescent,441035
queenstown-dovercrescent-blk28-deck2b,Queenstown/Dover Crescent/Blk 28/Deck 2B,1.304624,103.781822,28 Dover Crescent,130028
kallang-geylanglor3-blk114a-deck1a,Kallang/Geylang Lor 3/Blk 114A/Deck 1A,1.3126427,103.8742357,114A Lorong 3 Geylang,382114
pasirris-pasirrisstreet21-blk257a-deck1b,Pasir Ris/Pasir Ris Street 21/Blk 257A/Deck 1B,1.367569,103.963248,257A Pasir Ris Street 21,511257
jurongwest-jurongwestcentral3-blk697-deck1b,Jurong West/Jurong West Central 3/Blk 697/Deck 1B,1.341597,103.707913,697 Jurong West Central 3,640697
punggol-punggoldrive-blk663-deck1b,Punggol/Punggol Drive/Blk 663/Deck 1B,1.399895,103.916743,663 Punggol Drive,820663
sengkang-fernvalelink-blk414-deck1,Sengkang/Fernvale Link/Blk 414/Deck 1,1.390411,103.8803,414 Fernvale Link,790414
buonavista-11biopolisway-helios-deckb2,Queenstown/11 Biopolis Way/Helios/Deck B2,1.304152,103.791778,11 Biopolis Way,138667
yishun-yishunringroad-blk853,Yishun/Yishun Ring Road/Blk 853,1.416593,103.836526,850 to 855 Yishun Ring Road,760855
geylang-haigroad-blk8,Geylang/Haig Road/Blk 8,1.31379,103.896451,8 Haig Road,430007
serangoon-serangoonnorthavenue-blk546a-deck1a,Serangoon/Serangoon North Avenue/Blk 546A/Deck 1A,1.374037,103.870194,546A Serangoon North Avenue 3,551546
