full_name,lon,lat
UE Shopping Mall,103.843003298048,1.29265135224215
United Square,103.844003130499,1.31724362960662
Vista Point,103.793852610387,1.43075765633742
VivoCity,103.821624580393,1.26505084262759
Velocity@Novena,103.8438812,1.3195946
West Mall,103.749021976618,1.35018916560505
Wheelock Place,103.830714231109,1.3045363597328
Wisma Atria,103.833189592785,1.3036989067941
Woodlands Civic Centre,103.78693533379,1.43510773240045
Woodlands North Plaza,103.790825824274,1.44284570069182
Woodlands Point,103.786009973678,1.43608867729912
